class_uri,class_label,count
https://w3id.org/polifonia/ontology/music-meta/Recording,Recording,696
http://schema.org/PropertyValue,PropertyValue,495
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,MusicEnsembleMembership,444
http://schema.org/Role,Role,444
https://w3id.org/polifonia/ontology/music-meta/Musician,Musician,363
http://schema.org/Person,Person,363
https://w3id.org/polifonia/ontology/music-meta/Release,Release,300
http://schema.org/ListItem,ListItem,239
http://schema.org/MusicComposition,MusicComposition,238
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,MusicEntity,238
http://schema.org/ItemList,ItemList,132
https://w3id.org/polifonia/ontology/music-meta/MusicGenre,MusicGenre,85
http://schema.org/Event,Event,55
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,LivePerformance,52
http://schema.org/MusicAlbum,MusicAlbum,39
http://schema.org/VideoObject,VideoObject,33
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,MusicArtist,31
http://schema.org/MusicGroup,MusicGroup,31
http://wembrewind.live/ex#MusicInstrument,MusicInstrument,15
http://schema.org/CreativeWork,CreativeWork,13
http://www.w3.org/ns/oa#Annotation,Annotation,11
http://schema.org/Organization,Organization,11
http://www.w3.org/2004/02/skos/core#Concept,Concept,9
http://schema.org/Place,Place,7
http://schema.org/MusicEvent,MusicEvent,6
http://schema.org/DefinedTerm,DefinedTerm,5
http://schema.org/Review,Review,5
http://schema.org/BroadcastEvent,BroadcastEvent,4
http://www.w3.org/ns/oa#TextQuoteSelector,TextQuoteSelector,4
http://schema.org/Audience,Audience,3
http://schema.org/City,City,3
http://schema.org/Country,Country,3
http://schema.org/MedicalCondition,MedicalCondition,3
http://schema.org/MonetaryAmount,MonetaryAmount,3
http://schema.org/StadiumOrArena,StadiumOrArena,3
http://schema.org/Collection,Collection,2
http://schema.org/MusicVenue,MusicVenue,2
http://www.w3.org/ns/oa#SpecificResource,SpecificResource,2
http://www.w3.org/2004/02/skos/core#ConceptScheme,ConceptScheme,1
http://wembrewind.live/ex#MedicalEvent,MedicalEvent,1
http://schema.org/Schedule,Schedule,1
