combo_index,count,n_types,types_uris,types_labels
0,696,1,https://w3id.org/polifonia/ontology/music-meta/Recording,Recording
1,444,2,http://schema.org/Role;https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,MusicEnsembleMembership;Role
2,363,3,http://schema.org/Person;http://schema.org/PropertyValue;https://w3id.org/polifonia/ontology/music-meta/Musician,Musician;Person;PropertyValue
3,300,1,https://w3id.org/polifonia/ontology/music-meta/Release,Release
4,239,1,http://schema.org/ListItem,ListItem
5,238,2,http://schema.org/MusicComposition;https://w3id.org/polifonia/ontology/music-meta/MusicEntity,MusicComposition;MusicEntity
6,132,1,http://schema.org/ItemList,ItemList
7,101,1,http://schema.org/PropertyValue,PropertyValue
8,85,1,https://w3id.org/polifonia/ontology/music-meta/MusicGenre,MusicGenre
9,52,2,http://schema.org/Event;https://w3id.org/polifonia/ontology/music-meta/LivePerformance,Event;LivePerformance
10,39,1,http://schema.org/MusicAlbum,MusicAlbum
11,33,1,http://schema.org/VideoObject,VideoObject
12,31,3,http://schema.org/MusicGroup;http://schema.org/PropertyValue;https://w3id.org/polifonia/ontology/music-meta/MusicArtist,MusicArtist;MusicGroup;PropertyValue
13,15,1,http://wembrewind.live/ex#MusicInstrument,MusicInstrument
14,13,1,http://schema.org/CreativeWork,CreativeWork
15,11,1,http://www.w3.org/ns/oa#Annotation,Annotation
16,11,1,http://schema.org/Organization,Organization
17,9,1,http://www.w3.org/2004/02/skos/core#Concept,Concept
18,5,1,http://schema.org/DefinedTerm,DefinedTerm
19,5,1,http://schema.org/MusicEvent,MusicEvent
20,5,1,http://schema.org/Review,Review
21,4,1,http://schema.org/BroadcastEvent,BroadcastEvent
22,4,1,http://schema.org/Place,Place
23,4,1,http://www.w3.org/ns/oa#TextQuoteSelector,TextQuoteSelector
24,3,1,http://schema.org/Audience,Audience
25,3,1,http://schema.org/City,City
26,3,1,http://schema.org/Country,Country
27,3,1,http://schema.org/Event,Event
28,3,1,http://schema.org/MedicalCondition,MedicalCondition
29,3,1,http://schema.org/MonetaryAmount,MonetaryAmount
30,2,1,http://schema.org/Collection,Collection
31,2,3,http://schema.org/MusicVenue;http://schema.org/Place;http://schema.org/StadiumOrArena,MusicVenue;Place;StadiumOrArena
32,2,1,http://www.w3.org/ns/oa#SpecificResource,SpecificResource
33,1,1,http://www.w3.org/2004/02/skos/core#ConceptScheme,ConceptScheme
34,1,1,http://wembrewind.live/ex#MedicalEvent,MedicalEvent
35,1,3,http://schema.org/MusicEvent;http://schema.org/Place;http://schema.org/StadiumOrArena,MusicEvent;Place;StadiumOrArena
36,1,1,http://schema.org/Schedule,Schedule
