EntityURI,Label,Wikidata
http://example.org/liveaid/BobDylan,Bob Dylan,http://www.wikidata.org/entity/Q392
http://example.org/liveaid/BrianMay,Brian May,http://www.wikidata.org/entity/Q15873
http://example.org/liveaid/BryanAdams,Bryan Adams,http://www.wikidata.org/entity/Q482907
http://example.org/liveaid/DireStraits,Dire Straits,http://www.wikidata.org/entity/Q50040
http://example.org/liveaid/EricClapton,Eric Clapton,http://www.wikidata.org/entity/Q48187
http://example.org/liveaid/FreddieMercury,Freddie Mercury,http://www.wikidata.org/entity/Q15869
http://example.org/liveaid/JohnDeacon,John Deacon,http://www.wikidata.org/entity/Q192103
http://example.org/liveaid/LedZeppelin,Led Zeppelin,http://www.wikidata.org/entity/Q2331
http://example.org/liveaid/Madonna,Madonna,http://www.wikidata.org/entity/Q1744
http://example.org/liveaid/PaulMcCartney,Paul McCartney,http://www.wikidata.org/entity/Q2599
http://example.org/liveaid/PhilCollins,Phil Collins,http://www.wikidata.org/entity/Q144622
http://example.org/liveaid/RogerTaylor,Roger Taylor,http://www.wikidata.org/entity/Q15880
http://example.org/liveaid/Sting,Sting,http://www.wikidata.org/entity/Q483203
http://example.org/liveaid/TheCars,The Cars,http://www.wikidata.org/entity/Q858388
http://example.org/liveaid/DavidBowie,David Bowie,http://www.wikidata.org/entity/Q5383
http://example.org/liveaid/EltonJohn,Elton John,http://www.wikidata.org/entity/Q2808
http://example.org/liveaid/Queen,Queen,http://www.wikidata.org/entity/Q15862
http://example.org/liveaid/TheWho,The Who,http://www.wikidata.org/entity/Q93346
http://example.org/liveaid/U2,U2,http://www.wikidata.org/entity/Q396
